epoch,acc,loss,val_acc,val_loss
0,0.8457999982684851,0.5110454507172107,0.9385000038146972,0.21386945888400077
1,0.9345500010251999,0.2204793178041776,0.9548000001907349,0.14616230607032776
2,0.9518499954541524,0.1624816687653462,0.9639000010490417,0.11988022874109447
3,0.9597999958197275,0.13530966833233835,0.9680000030994416,0.10389007436111569
4,0.9659666689236959,0.11259123445798953,0.9728000032901764,0.08949979932513089
5,0.9696500051021576,0.09933571688830853,0.9735000026226044,0.08524789798539131
6,0.9732000076770783,0.08781136664251486,0.9753000044822693,0.07877623078878969
7,0.9755166771014532,0.07986834343522788,0.9767000079154968,0.07554525217274204
8,0.9776333453257878,0.07382373263438542,0.9774000060558319,0.0714704418508336
9,0.9795166802406311,0.06756023520603777,0.9790000057220459,0.06669148601591587
10,0.9816833472251892,0.060968810621028144,0.9795000100135803,0.06622585735283792
11,0.9820166806379954,0.05814242153428495,0.9793000090122223,0.06525172380032018
12,0.9839666789770126,0.05144380559834341,0.9799000096321105,0.06370441660634242
13,0.9845333466927211,0.04888015257194638,0.9794000101089477,0.062477366030798294
14,0.9857333455483118,0.04593465908430517,0.9808000087738037,0.061097162233782004
15,0.9868000115950902,0.041716057223578296,0.9801000118255615,0.0648495318723144
16,0.9876666776339214,0.04025711878823737,0.9816000080108642,0.0626736639579758
17,0.9883500105142593,0.037369215989795826,0.9807000100612641,0.06324137493036687
18,0.9893666768074035,0.03508834501417975,0.9809000098705292,0.06028360579512082
19,0.9890166765451431,0.03444831045034031,0.981400010585785,0.06074495442386251
20,0.9897166762749354,0.03167962480646869,0.9812000107765197,0.06346247216919437
21,0.9909000084797541,0.029601933473410707,0.9816000080108642,0.06031549142091535
22,0.9910333416859309,0.027924870777254304,0.9820000100135803,0.06223338521347614
23,0.9914000082015991,0.02689467844708512,0.9825000095367432,0.06012975649820874
24,0.9911000082890192,0.026927962130090844,0.9821000099182129,0.06091900838713627
25,0.9923333406448365,0.0244338664241756,0.9809000098705292,0.059919495284848384
26,0.9924833405017853,0.023425529634890457,0.9817000091075897,0.062150493801018454
27,0.9928833401203155,0.022709093984837333,0.9820000088214874,0.06021390524765593
28,0.9931833398342133,0.021470053954981267,0.9831000065803528,0.06029580369213363
29,0.9933500063419342,0.020881703557291378,0.9830000102519989,0.05768369411656749
